0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242
Free WiFi0 ,Airport shuttle0 ,Free parking0 ,Restaurant0 ,Room service0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is needed).0 ,Services0 ,Shuttle service0 ,Airport shuttle (additional charge)0 ,Shuttle service (additional charge)0 ,Luggage storage0 ,24-hour front desk0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free parking0 ,Parking0 ,Free!0 ,Free private parking is possible at a location nearby (reservation is not needed).0 ,Internet0 ,No internet access available.0 ,Kitchen0 ,Freedom to eat when you want0 ,Bedroom0 ,Wardrobe or closet0 ,Bathroom0 ,Free toiletries0 ,Bath or Shower0 ,Private bathroom0 ,Toilet0 ,Media &amp; Technology0 ,Fun for everyone under one roof0 ,Cable Channels0 ,TV0 ,Room Amenities0 ,Extra comfort0 ,Fan0 ,Air conditioning0 ,Trash cans0 ,Pets0 ,Pets are not allowed.0 ,Outdoors0 ,Sit back and relax0 ,Balcony0 ,Cleaning services0 ,Daily housekeeping0 ,Safety &amp; security0 ,CCTV in common areas0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Family rooms0 ,Room service0 ,24-hour front desk0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in the hotel rooms and is free of charge.0 ,Parking0 ,No parking available.0 ,Services0 ,24-hour front desk0 ,Room service0 ,General0 ,Air conditioning0 ,Family rooms0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Family rooms0 ,Non-smoking rooms0 ,24-hour front desk0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is needed).0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Bathroom0 ,Towels0 ,Shower0 ,Body soap0 ,Shampoo0 ,Toilet paper0 ,Additional bathroom0 ,Additional Toilet0 ,Private bathroom0 ,Toilet0 ,Living Area0 ,Sofa0 ,Seating Area0 ,Desk0 ,Room Amenities0 ,Clothes rack0 ,Pets0 ,Pets are not allowed.0 ,Accessibility0 ,Upper floors accessible by stairs only0 ,Outdoors0 ,Balcony0 ,Terrace0 ,Garden0 ,General0 ,Fan0 ,Air conditioning0 ,Tile/Marble floor0 ,Private entrance0 ,Family rooms0 ,Non-smoking rooms0 ,Food &amp; Drink0 ,Bottle of water0 ,Services0 ,Wake-up service0 ,24-hour front desk0 ,View0 ,River view0 ,City view0 ,Landmark view0 ,Garden view0 ,View0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Family rooms0 ,Non-smoking rooms0 ,Room service0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,No parking available.0 ,Services0 ,24-hour front desk0 ,Room service0 ,General0 ,Air conditioning0 ,Family rooms0 ,Non-smoking rooms0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Family rooms0 ,Room service0 ,Restaurant0 ,Outdoors0 ,Terrace0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Breakfast in the room0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Street parking0 ,Secured parking0 ,Reception services0 ,Private check-in/check-out0 ,Luggage storage0 ,Express check-in/check-out0 ,24-hour front desk0 ,Cleaning services0 ,Trouser press0 ,Additional charge0 ,Shoeshine0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business facilities0 ,Fax/photocopying0 ,Business centre0 ,Additional charge0 ,Meeting/banquet facilities0 ,Additional charge0 ,General0 ,Shared lounge/TV area0 ,Air conditioning0 ,Non-smoking throughout0 ,Heating0 ,Car hire0 ,Packed lunches0 ,Lift0 ,Family rooms0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking0 ,No parking available.0 ,Internet0 ,No internet access available.0 ,Kitchen0 ,Freedom to eat when you want0 ,Bedroom0 ,Wardrobe or closet0 ,Bathroom0 ,Free toiletries0 ,Bath or Shower0 ,Private bathroom0 ,Toilet0 ,Media &amp; Technology0 ,Fun for everyone under one roof0 ,Cable Channels0 ,TV0 ,Room Amenities0 ,Extra comfort0 ,Fan0 ,Trash cans0 ,Pets0 ,Pets are not allowed.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free parking0 ,Family rooms0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Internet0 ,No internet access available.0 ,Kitchen0 ,Cleaning products0 ,Washing Machine0 ,Bedroom0 ,Wardrobe or closet0 ,Bathroom0 ,Towels0 ,Free toiletries0 ,Shower0 ,Body soap0 ,Toilet paper0 ,Additional Toilet0 ,Bath or Shower0 ,Toilet0 ,Living Area0 ,Seating Area0 ,Room Amenities0 ,Non-feather pillow0 ,Adapter0 ,Socket near the bed0 ,Drying rack for clothing0 ,Clothes rack0 ,Pets0 ,Pets are not allowed.0 ,Accessibility0 ,Upper floors accessible by stairs only0 ,Entire unit located on ground floor0 ,Outdoors0 ,Balcony0 ,Garden0 ,General0 ,Soundproofing0 ,Fan0 ,Iron0 ,Trash cans0 ,Tile/Marble floor0 ,Private entrance0 ,Family rooms0 ,Non-smoking rooms0 ,Safety Deposit Box0 ,View0 ,View0 ,Entertainment and family services0 ,Baby safety gates0 ,Child safety socket covers0 ,Languages spoken0 ,English0 ,Hindi0 ,Kannada0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free parking0 ,Family rooms0 ,Non-smoking rooms0 ,Outdoors0 ,Garden0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,No internet access available.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,General0 ,Air conditioning0 ,Family rooms0 ,Non-smoking rooms0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pets0 ,Pets are not allowed.0 ,Internet0 ,No internet access available.0 ,Parking0 ,No parking available.0 ,Services0 ,24-hour front desk0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-hour front desk0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,No internet access available.0 ,Parking0 ,No parking available.0 ,Services0 ,Daily housekeeping0 ,Trouser press0 ,24-hour front desk0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 swimming pool0 ,Free WiFi0 ,Airport shuttle0 ,Family rooms0 ,Spa and wellness centre0 ,Bar0 ,Outdoors0 ,Garden0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Bottle of water0 ,Bar0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Wellness facilities0 ,Swimming Pool0 ,Swimming pool0 ,Additional charge0 ,Spa Facilities0 ,Fence around pool0 ,Pool with view0 ,Outdoor pool (all year)0 ,Additional charge0 ,Outdoor pool0 ,Additional charge0 ,Spa and wellness centre0 ,Fitness centre0 ,Sauna0 ,Transport0 ,Airport drop off0 ,Additional charge0 ,Airport pick up0 ,Additional charge0 ,Reception services0 ,Concierge service0 ,Luggage storage0 ,Ticket service0 ,Tour desk0 ,Currency exchange0 ,Express check-in/check-out0 ,24-hour front desk0 ,Cleaning services0 ,Daily housekeeping0 ,Shoeshine0 ,Ironing service0 ,Dry cleaning0 ,Laundry0 ,Business facilities0 ,Fax/photocopying0 ,Business centre0 ,Meeting/banquet facilities0 ,Safety &amp; security0 ,Safety deposit box0 ,General0 ,Airport shuttle (additional charge)0 ,Air conditioning0 ,Car hire0 ,Lift0 ,Family rooms0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Family rooms0 ,Room service0 ,24-hour front desk0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Services0 ,Daily housekeeping0 ,24-hour front desk0 ,Room service0 ,Safety &amp; security0 ,CCTV in common areas0 ,General0 ,Air conditioning0 ,Family rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking0 ,No parking available.0 ,Internet0 ,No internet access available.0 ,Bedroom0 ,Wardrobe or closet0 ,Bathroom0 ,Free toiletries0 ,Bath or Shower0 ,Private bathroom0 ,Toilet0 ,Media &amp; Technology0 ,Cable Channels0 ,TV0 ,Pets0 ,Pets are not allowed.0 ,General0 ,Fan0 ,Trash cans0 ,Services0 ,Daily housekeeping0 ,Trouser press0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Family rooms0 ,Restaurant0 ,Room service0 ,Bar0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Bar0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free public parking is possible on site (reservation is not needed).0 ,Services0 ,24-hour front desk0 ,Room service0 ,General0 ,Air conditioning0 ,Family rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Family rooms0 ,Restaurant0 ,Room service0 ,Non-smoking rooms0 ,24-hour front desk0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,No parking available.0 ,Services0 ,Daily housekeeping0 ,Trouser press0 ,Additional charge0 ,24-hour front desk0 ,Room service0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV in common areas0 ,24-hour security0 ,General0 ,Air conditioning0 ,Family rooms0 ,Non-smoking rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,No parking available.0 ,Services0 ,Daily housekeeping0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV in common areas0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pets0 ,Pets are not allowed.0 ,Internet0 ,No internet access available.0 ,Parking0 ,Parking options available0 ,Accessible parking0 ,Services0 ,Daily housekeeping0 ,Shared lounge/TV area0 ,24-hour front desk0 ,General0 ,Air conditioning0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Room service0 ,Family rooms0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Accessible parking0 ,Secured parking0 ,Services0 ,Daily housekeeping0 ,Trouser press0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,24-hour front desk0 ,Room service0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV outside property0 ,CCTV in common areas0 ,24-hour security0 ,General0 ,Air conditioning0 ,Lift0 ,Family rooms0 ,Non-smoking rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Restaurant0 ,Non-smoking rooms0 ,Room service0 ,24-hour front desk0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Restaurant0 ,Good0 ,coffee!0 ,Internet0 ,Free!0 ,WiFi is available in the hotel rooms and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Reception services0 ,Concierge service0 ,Luggage storage0 ,Tour desk0 ,Currency exchange0 ,24-hour front desk0 ,Cleaning services0 ,Daily housekeeping0 ,Ironing service0 ,Laundry0 ,Business facilities0 ,Business centre0 ,General0 ,Air conditioning0 ,Packed lunches0 ,Non-smoking rooms0 ,Room service0 ,Languages spoken0 ,Arabic0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking0 ,No parking available.0 ,Internet0 ,No internet access available.0 ,Pets0 ,Pets are not allowed.0 ,Miscellaneous0 ,Air conditioning0 ,Heating0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachfront0 ,Free WiFi0 ,Free parking0 ,Family rooms0 ,Airport shuttle0 ,Restaurant0 ,Bar0 ,Outdoors0 ,Beachfront0 ,Private beach area0 ,Pets0 ,Free!0 ,Pets are allowed on request. No extra charges.0 ,Activities0 ,Beach0 ,Water park0 ,Off-site0 ,Additional charge0 ,Water sport facilities (on site)0 ,Additional charge0 ,Snorkelling0 ,Off-site0 ,Additional charge0 ,Diving0 ,Off-site0 ,Additional charge0 ,Windsurfing0 ,Off-site0 ,Additional charge0 ,Fishing0 ,Off-site0 ,Additional charge0 ,Food &amp; Drink0 ,Fruits0 ,Additional charge0 ,Bottle of water0 ,Additional charge0 ,Bar0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in public areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is needed).0 ,Accessible parking0 ,Street parking0 ,Secured parking0 ,Transport0 ,Airport drop off0 ,Additional charge0 ,Airport pick up0 ,Additional charge0 ,Reception services0 ,Luggage storage0 ,Tour desk0 ,Currency exchange0 ,24-hour front desk0 ,Cleaning services0 ,Daily housekeeping0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV outside property0 ,CCTV in common areas0 ,Safety deposit box0 ,General0 ,Shuttle service0 ,Shuttle service (additional charge)0 ,Designated smoking area0 ,Air conditioning0 ,Additional charge0 ,Car hire0 ,Family rooms0 ,Airport shuttle0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Airport shuttle0 ,Free parking0 ,Restaurant0 ,Fitness centre0 ,Room service0 ,Swimming pool0 ,Bar0 ,Outdoors0 ,Picnic area0 ,Outdoor furniture0 ,Terrace0 ,Garden0 ,Pets0 ,Free!0 ,Pets are allowed on request. No extra charges.0 ,Activities0 ,Evening entertainment0 ,Children's playground0 ,Games room0 ,Food &amp; Drink0 ,On-site coffee house0 ,Bottle of water0 ,Additional charge0 ,Wine/champagne0 ,Additional charge0 ,Snack bar0 ,Breakfast in the room0 ,Bar0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Accessible parking0 ,Street parking0 ,Secured parking0 ,Transport0 ,Airport drop off0 ,Additional charge0 ,Airport pick up0 ,Additional charge0 ,Wellness facilities0 ,Swimming Pool0 ,Swimming pool0 ,Fitness0 ,Full body massage0 ,Make up services0 ,Beauty Services0 ,Fence around pool0 ,Sun umbrellas0 ,Pool bar0 ,Pool/beach towels0 ,Outdoor pool (all year)0 ,Outdoor pool0 ,Massage0 ,Additional charge0 ,Fitness centre0 ,Reception services0 ,Lockers0 ,Private check-in/check-out0 ,Concierge service0 ,ATM/cash machine on site0 ,Luggage storage0 ,Ticket service0 ,Tour desk0 ,Express check-in/check-out0 ,24-hour front desk0 ,Entertainment and family services0 ,Strollers0 ,Children television networks0 ,Kids' outdoor play equipment0 ,Indoor play area0 ,Cleaning services0 ,Trouser press0 ,Additional charge0 ,Shoeshine0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business facilities0 ,Fax/photocopying0 ,Additional charge0 ,Business centre0 ,Additional charge0 ,Meeting/banquet facilities0 ,Additional charge0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV outside property0 ,CCTV in common areas0 ,24-hour security0 ,Safety deposit box0 ,General0 ,Shuttle service0 ,Shared lounge/TV area0 ,Airport shuttle (additional charge)0 ,Shuttle service (additional charge)0 ,Designated smoking area0 ,Air conditioning0 ,Non-smoking throughout0 ,Allergy-free room0 ,Car hire0 ,Packed lunches0 ,Soundproof rooms0 ,Lift0 ,Bridal suite0 ,VIP room facilities0 ,Family rooms0 ,Facilities for disabled guests0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-smoking rooms0 ,Air conditioning0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,No internet access available.0 ,Parking0 ,No parking available.0 ,Miscellaneous0 ,Air conditioning0 ,Non-smoking rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
